Hour1-> H=212.18,  Ploss=1544.74,  Re=0.0,  Rb=418.7,  Rg=1126.04
Hour2-> H=210.89,  Ploss=1627.07,  Re=509.13,  Rb=0.0,  Rg=1117.95
Hour3-> H=212.18,  Ploss=1580.92,  Re=455.37,  Rb=0.0,  Rg=1125.55
Hour4-> H=212.09,  Ploss=1544.01,  Re=418.41,  Rb=0.0,  Rg=1125.59
Hour5-> H=211.79,  Ploss=1616.64,  Re=493.65,  Rb=0.0,  Rg=1122.99
Hour6-> H=217.77,  Ploss=2041.78,  Re=892.22,  Rb=0.0,  Rg=1149.56
Hour7-> H=256.23,  Ploss=2654.59,  Re=900.0,  Rb=405.46,  Rg=1349.13
Hour8-> H=256.23,  Ploss=2654.59,  Re=900.0,  Rb=405.46,  Rg=1349.13
Hour9-> H=253.96,  Ploss=3045.91,  Re=900.0,  Rb=650.0,  Rg=1677.71
Hour10-> H=266.84,  Ploss=2812.4,  Re=900.0,  Rb=508.0,  Rg=1404.39
Hour11-> H=266.84,  Ploss=2681.81,  Re=739.33,  Rb=536.32,  Rg=1406.16
Hour12-> H=265.17,  Ploss=2788.97,  Re=799.62,  Rb=593.7,  Rg=1395.66
Hour13-> H=266.84,  Ploss=2952.5,  Re=900.0,  Rb=650.0,  Rg=1402.5
Hour14-> H=266.84,  Ploss=2952.5,  Re=900.0,  Rb=650.0,  Rg=1402.5
Hour15-> H=266.84,  Ploss=2968.19,  Re=900.0,  Rb=650.0,  Rg=1434.05
Hour16-> H=266.84,  Ploss=3178.3,  Re=900.0,  Rb=831.52,  Rg=1495.05
Hour17-> H=266.84,  Ploss=3311.13,  Re=900.0,  Rb=966.2,  Rg=1493.13
Hour18-> H=266.84,  Ploss=3376.41,  Re=900.0,  Rb=1032.39,  Rg=1492.19
Hour19-> H=266.84,  Ploss=3221.67,  Re=900.0,  Rb=875.49,  Rg=1494.42
Hour20-> H=266.84,  Ploss=2952.5,  Re=900.0,  Rb=650.0,  Rg=1402.5
Hour21-> H=266.84,  Ploss=2952.5,  Re=900.0,  Rb=650.0,  Rg=1402.5
Hour22-> H=265.55,  Ploss=2748.3,  Re=832.14,  Rb=517.88,  Rg=1398.28
Hour23-> H=266.84,  Ploss=2504.93,  Re=798.2,  Rb=298.18,  Rg=1408.55
Hour24-> H=266.84,  Ploss=2318.58,  Re=770.7,  Rb=136.81,  Rg=1411.07
