Hour1-> H=187.18,  Ploss=1546.66,  Re=741.36,  Rb=499.16,  Rg=306.14
Hour2-> H=187.75,  Ploss=1627.07,  Re=833.25,  Rb=576.78,  Rg=217.05
Hour3-> H=188.15,  Ploss=1582.42,  Re=779.97,  Rb=527.7,  Rg=274.74
Hour4-> H=185.53,  Ploss=1581.22,  Re=794.89,  Rb=540.2,  Rg=246.13
Hour5-> H=183.62,  Ploss=1644.62,  Re=893.14,  Rb=602.58,  Rg=148.89
Hour6-> H=231.48,  Ploss=2013.75,  Re=900.0,  Rb=855.22,  Rg=258.53
Hour7-> H=320.38,  Ploss=2309.49,  Re=900.0,  Rb=483.77,  Rg=925.72
Hour8-> H=325.39,  Ploss=2462.52,  Re=900.0,  Rb=650.0,  Rg=966.39
Hour9-> H=325.39,  Ploss=2493.1,  Re=900.0,  Rb=650.0,  Rg=1032.24
Hour10-> H=325.39,  Ploss=2593.15,  Re=900.0,  Rb=650.0,  Rg=1262.87
Hour11-> H=325.39,  Ploss=2468.43,  Re=900.0,  Rb=659.49,  Rg=964.59
Hour12-> H=325.39,  Ploss=2424.41,  Re=900.0,  Rb=642.31,  Rg=898.68
Hour13-> H=325.39,  Ploss=2571.14,  Re=900.0,  Rb=650.0,  Rg=1210.15
Hour14-> H=325.39,  Ploss=2714.0,  Re=900.0,  Rb=652.69,  Rg=1567.82
Hour15-> H=325.39,  Ploss=2908.37,  Re=900.0,  Rb=1300.0,  Rg=986.64
Hour16-> H=325.39,  Ploss=2667.99,  Re=900.0,  Rb=121.32,  Rg=2360.24
Hour17-> H=325.39,  Ploss=2861.05,  Re=900.0,  Rb=1105.61,  Rg=1191.48
Hour18-> H=325.39,  Ploss=2918.0,  Re=900.0,  Rb=1300.0,  Rg=1013.67
Hour19-> H=325.39,  Ploss=2704.4,  Re=900.0,  Rb=268.97,  Rg=2206.12
Hour20-> H=325.39,  Ploss=2836.17,  Re=900.0,  Rb=1120.41,  Rg=1097.89
Hour21-> H=325.39,  Ploss=2578.85,  Re=900.0,  Rb=650.0,  Rg=1228.48
Hour22-> H=325.39,  Ploss=2411.66,  Re=900.0,  Rb=650.0,  Rg=861.66
Hour23-> H=325.39,  Ploss=2331.29,  Re=900.0,  Rb=474.07,  Rg=957.22
Hour24-> H=325.39,  Ploss=2114.73,  Re=900.0,  Rb=0.0,  Rg=1214.73
